wages,education,age,sex,language,logwages
40.32,14,42,Male,English,3.696847624
8.2,14,19,Male,English,2.104134154
11,13,27,Female,English,2.397895273
15,12.5,30,Male,English,2.708050201
40.8,20,60,Male,English,3.708682081
8,12,51,Female,English,2.079441542
14.5,10.5,45,Female,English,2.674148649
9,13,31,Female,English,2.197224577
14.4,8.5,51,Male,English,2.667228207
12,11,53,Female,French,2.48490665
7,14.3,18,Male,English,1.945910149
25.92,18,48,Male,English,3.255014871
25.44,11,41,Male,English,3.236322738
10,12.1,34,Female,English,2.302585093
12.97,15.1,56,Male,English,2.562638998
7,14,19,Male,English,1.945910149
8.89,12,18,Female,English,2.18492705
21.57,9,41,Male,Other,3.07130346
20.61,12.5,40,Male,French,3.025776395
11.11,11,41,Male,Other,2.407845604
22.13,14,55,Male,English,3.096934154
13.5,17,30,Male,English,2.602689685
21.56,19.1,32,Male,English,3.070839746
6.75,10,16,Male,Other,1.909542505
9,14,68,Female,English,2.197224577
13,14.8,25,Female,Other,2.564949357
5.54,18,23,Male,English,1.711994501
6.48,11,17,Male,English,1.86872051
40.8,16.8,39,Male,English,3.708682081
13.01,10.5,39,Female,English,2.565718293
19.17,17,49,Male,English,2.953346557
25.75,12.5,31,Male,English,3.248434627
30,20,39,Male,English,3.401197382
9.25,10,40,Female,English,2.224623552
5.76,10,17,Male,English,1.750937475
3.75,11,17,Male,English,1.32175584
40.96,10.5,54,Male,English,3.712595981
21.39,18,41,Female,English,3.062923523
3.12,17.5,24,Male,Other,1.137833002
14.96,16.1,28,Female,English,2.705379973
12.55,13,37,Male,Other,2.529720666
6.75,15.5,21,Female,English,1.909542505
10.56,11.8,21,Male,English,2.357073278
10.75,12.1,18,Male,English,2.374905755
5.17,17.3,34,Female,English,1.642872689
19.15,13,50,Male,English,2.952302716
35.66,20,48,Male,Other,3.574029612
9.85,13.9,20,Male,English,2.287471455
27.8,12,34,Female,English,3.325036021
13.12,12,31,Male,English,2.574137784
41.38,11.1,44,Male,Other,3.722797672
31.5,15,42,Male,English,3.449987546
15,17,58,Female,English,2.708050201
14.85,13,38,Male,French,2.697999865
19.2,14,28,Male,French,2.954910279
7.31,11,63,Female,English,1.989243274
13.88,12,33,Female,Other,2.630448955
16,11,57,Female,English,2.772588722
7.52,11.6,19,Male,English,2.017566138
12.84,12.5,26,Female,English,2.552565298
6.42,12.5,43,Female,English,1.859418118
17.58,12,31,Male,English,2.866761892
15.07,5,65,Male,Other,2.712706013
28.66,17,50,Male,English,3.355502422
6.06,12.5,20,Female,English,1.8017098
17.68,12,34,Male,English,2.872434057
28.78,16.3,40,Male,English,3.359680701
9.22,13,31,Female,English,2.221375038
7.6,11,27,Male,English,2.028148247
13.29,8,53,Male,English,2.587011873
7.2,14.6,19,Male,English,1.974081026
14.03,8,39,Male,Other,2.641197894
23.04,14,40,Male,English,3.137231836
12.3,20,40,Male,English,2.509599262
21.5,13.6,24,Male,English,3.068052935
9.4,11,19,Female,English,2.240709689
11.5,8,59,Male,English,2.442347035
5.92,14.5,22,Female,English,1.778336449
27.79,13.5,57,Female,English,3.324676244
17.6,16.9,39,Female,English,2.867898902
12,6,65,Male,French,2.48490665
22.19,16,32,Male,English,3.099641737
9,14,20,Male,English,2.197224577
12.83,17.4,45,Female,English,2.551786179
5.9,10,16,Male,English,1.774952351
15.79,17.5,26,Male,English,2.759376828
7.15,11,17,Male,English,1.967112357
21.15,12,41,Male,English,3.051639905
17.14,12.5,30,Female,French,2.841414913
19.68,11.5,34,Male,English,2.979602892
10,16,31,Male,English,2.302585093
7.66,16,20,Female,English,2.036011984
7,8,35,Female,English,1.945910149
14.23,9,55,Male,French,2.655352412
6.5,16.3,20,Female,English,1.871802177
10.25,11.5,36,Female,English,2.327277706
10.5,14,25,Male,French,2.351375257
8.92,19.1,25,Male,English,2.188295947
26.88,13,37,Male,English,3.291382516
19.07,13,44,Male,English,2.94811642
12,14.1,36,Female,English,2.48490665
8.5,14,24,Female,English,2.140066163
19.67,12,36,Female,Other,2.979094632
23.04,20,38,Male,English,3.137231836
15.92,20,34,Female,English,2.76757618
8.83,10,64,Female,English,2.178155015
16.46,18,25,Female,English,2.800933195
18.24,10,56,Male,English,2.903616985
12,14,37,Female,English,2.48490665
28.8,10.1,58,Male,English,3.360375387
34.78,18.5,46,Male,English,3.549042509
12.8,12.5,27,Female,English,2.549445171
7.5,18.8,43,Female,English,2.014903021
18.19,10,57,Female,English,2.900871993
21.55,12,34,Male,English,3.070375817
7,16,52,Female,French,1.945910149
11.3,12,43,Female,English,2.424802726
9.58,18,38,Male,English,2.259677592
15.43,17.8,38,Female,English,2.736313666
12.58,0,38,Female,English,2.532108251
16.22,15,46,Female,English,2.786245049
13.65,14.5,29,Female,English,2.613739522
16.8,17,30,Female,English,2.821378886
8.5,13,31,Female,English,2.140066163
20.29,20,39,Female,English,3.010128154
27.9,15,53,Male,English,3.328626689
7,12,30,Male,English,1.945910149
7.25,14.5,25,Female,English,1.981001469
14.75,16,49,Female,English,2.691243083
17.45,17,40,Female,English,2.859339649
16,16.5,46,Female,English,2.772588722
15.1,15.5,23,Female,English,2.714694744
9,10,27,Male,English,2.197224577
11.6,12.3,28,Female,English,2.451005098
16.48,12,33,Male,English,2.802147524
26.88,17,52,Male,English,3.291382516
9.65,14,40,Female,English,2.266957915
23.35,20,44,Male,English,3.150596984
10.59,12.5,29,Female,English,2.35991016
7.79,12,20,Female,English,2.05284086
15.05,19,44,Male,Other,2.711377991
6.5,13,19,Female,English,1.871802177
4.8,10,34,Male,Other,1.568615918
21.33,20,36,Female,English,3.060114532
22.99,12.5,51,Female,English,3.135059339
16.28,16,24,Male,English,2.789937361
7,12,18,Male,English,1.945910149
32.59,16,50,Female,English,3.484005493
9.25,9,25,Male,Other,2.224623552
7,13,19,Male,English,1.945910149
21.12,17,43,Female,English,3.050220459
18,13,44,Male,French,2.890371758
19.94,12,31,Female,Other,2.992727765
21.43,12,62,Female,English,3.064791809
5.8,14,33,Male,English,1.757857918
17.67,13,42,Female,English,2.871868286
16,13,43,Female,English,2.772588722
19.58,13,38,Male,English,2.974508637
15.65,14,49,Male,English,2.750470917
15.42,14,23,Male,English,2.735665368
7,13,47,Female,English,1.945910149
11.27,9.5,34,Female,English,2.422144328
15,11,35,Male,English,2.708050201
27.5,10,49,Female,English,3.314186005
7,8,50,Female,English,1.945910149
29.53,17,44,Female,English,3.385406696
11.97,5.5,29,Male,Other,2.48240352
9,9,30,Male,Other,2.197224577
25.6,13,60,Male,English,3.242592351
15.6,13,37,Male,English,2.747270914
11,4,54,Male,Other,2.397895273
11.25,12,35,Male,English,2.420368129
32.91,18,43,Female,English,3.493776563
14.2,14,37,Male,English,2.653241965
6.85,13,20,Male,English,1.924248652
28.8,20,44,Male,English,3.360375387
6.7,12,30,Male,English,1.902107526
6.62,10,17,Female,English,1.89009537
28.54,15,32,Female,English,3.351306612
22.27,19,50,Male,English,3.103240481
30.72,20,40,Male,French,3.424913908
26.39,18,33,Female,English,3.272985151
33.28,16.5,39,Male,English,3.504956616
6.36,14.5,23,Male,English,1.850028377
12.86,13,30,Female,English,2.554121719
18.29,14.5,36,Male,English,2.906354462
13.6,16,28,Female,English,2.610069793
18.25,17,28,Female,English,2.90416508
16.62,9,32,Female,French,2.810606789
6.35,10.1,17,Female,English,1.848454813
21.81,13,37,Male,Other,3.08236858
7.19,13,18,Female,English,1.972691172
25.6,18,42,Female,English,3.242592351
19,11,41,Female,English,2.944438979
13.07,16,44,Male,English,2.570319528
7,12,48,Female,English,1.945910149
40.96,17,43,Female,English,3.712595981
34.67,17,35,Female,English,3.54587476
11.25,10.5,56,Female,Other,2.420368129
24,14.5,54,Male,English,3.17805383
7,14,45,Female,English,1.945910149
9.1,12.3,19,Male,English,2.208274414
23.04,13.5,50,Female,English,3.137231836
20.1,17.1,32,Female,English,3.000719815
13.91,18,31,Female,English,2.632608006
18.72,18,42,Male,English,2.929592471
24.38,20,30,Male,English,3.193763124
6.83,13,27,Female,English,1.921324674
20.91,16.2,26,Male,English,3.040227513
14.85,12,30,Female,English,2.697999865
14.29,12.5,52,Female,English,2.659559992
8,16.1,20,Female,English,2.079441542
14,18,37,Male,English,2.63905733
8,13,23,Male,English,2.079441542
12,12,53,Female,English,2.48490665
17.43,17,34,Male,English,2.85819286
9.89,11,66,Female,English,2.291524146
9.56,17,24,Female,English,2.257587727
12.13,12,51,Female,English,2.495681723
15,12,32,Male,Other,2.708050201
4.82,15,23,Male,English,1.572773928
17.9,13,45,Male,English,2.884800713
12.55,12.5,35,Female,Other,2.529720666
27.73,17,52,Female,English,3.32251486
10,14,26,Female,English,2.302585093
9.83,14,37,Female,English,2.285438934
22.23,16,41,Female,Other,3.101442728
19.2,18.1,43,Male,English,2.954910279
7.25,12,41,Male,English,1.981001469
12,13.5,41,Female,English,2.48490665
32.16,18,62,Female,English,3.470723444
5,11,16,Male,English,1.609437912
24.32,16,21,Male,English,3.191299057
9.76,14,29,Female,French,2.2782924
21.6,11,48,Male,English,3.072693315
16.5,12,31,Female,English,2.803360381
15,17,28,Male,English,2.708050201
19.2,18.5,27,Male,English,2.954910279
15.84,16.3,34,Male,English,2.762538386
11.2,8.5,48,Male,French,2.415913778
9,15.5,23,Male,English,2.197224577
9.6,10,54,Female,Other,2.261763098
14,17,38,Female,English,2.63905733
20,13,33,Male,English,2.995732274
8,17,57,Female,English,2.079441542
7.49,12,36,Female,English,2.013568798
8.18,13.3,19,Female,Other,2.101692151
18.77,13,32,Male,English,2.932259851
20.76,18,44,Female,Other,3.033028058
26.38,8,60,Male,Other,3.272606147
10,16,38,Female,English,2.302585093
7.1,9,38,Female,Other,1.960094784
33.6,13,44,Male,English,3.514526067
30.24,17,52,Male,English,3.409165551
13,18,29,Female,Other,2.564949357
18.74,17,41,Female,English,2.930660277
3.15,11.5,26,Female,English,1.147402453
11.26,12,55,Female,English,2.421256623
7.25,12,20,Female,English,1.981001469
12.5,11,35,Female,English,2.525728644
8.8,12.3,35,Female,French,2.174751721
14.4,17,62,Female,English,2.667228207
24.33,15.3,37,Male,English,3.191710157
9,17,44,Male,English,2.197224577
21.6,13.1,49,Female,English,3.072693315
12.79,12,47,Female,French,2.548663616
15.36,11,64,Male,English,2.731766728
14.49,16,53,Female,Other,2.673458756
14.05,15,33,Male,English,2.642622396
16.42,7.6,39,Male,French,2.798500104
8.97,13.1,22,Female,Other,2.193885676
8,11.2,60,Female,English,2.079441542
13.5,16.1,36,Female,English,2.602689685
12,20,29,Male,English,2.48490665
10.25,12.2,23,Female,English,2.327277706
27.43,16,55,Male,English,3.311637305
11.32,17.5,34,Male,English,2.426571073
15.77,12.5,33,Male,English,2.758109401
10.87,14,35,Male,English,2.386006701
11.29,10,38,Female,English,2.423917378
28.8,12,55,Male,English,3.360375387
7.41,13,20,Male,English,2.002830439
15,13,32,Male,English,2.708050201
10.05,12,23,Female,French,2.307572635
7.08,16,27,Male,English,1.957273908
18.28,16.1,37,Male,English,2.905807566
11.5,13.5,27,Male,English,2.442347035
16,15,46,Female,English,2.772588722
15,15.5,25,Female,English,2.708050201
12,13,47,Female,English,2.48490665
8.13,10,51,Female,English,2.095560924
19,8,53,Male,English,2.944438979
7,18.5,26,Female,English,1.945910149
8.61,12,55,Female,English,2.152924318
23.46,18,49,Female,English,3.155296843
5.93,10.5,28,Female,French,1.780024213
19.75,17.4,43,Male,English,2.983153491
7.2,17,23,Female,English,1.974081026
13.44,10.6,38,Female,English,2.598235335
15.5,12,50,Female,English,2.740840024
7.12,12,35,Female,English,1.962907725
9.14,17,41,Female,English,2.212660385
17.88,16,38,Female,Other,2.88368277
18.75,15,27,Male,English,2.931193752
20.5,17,39,Female,English,3.020424886
31.8,17.3,41,Male,English,3.45946629
6.75,12.6,19,Female,English,1.909542505
9.05,11.1,33,Female,English,2.202764758
7,11,17,Female,English,1.945910149
11.5,9,37,Female,English,2.442347035
11,10,34,Female,French,2.397895273
10.81,0,49,Male,Other,2.380471632
25.08,14,38,Male,English,3.222070716
6.7,11,19,Male,English,1.902107526
10.2,12,61,Female,English,2.32238772
24,15,51,Male,Other,3.17805383
16.3,12.1,26,Male,English,2.791165108
18.39,12,51,Male,English,2.911807039
3.62,13,57,Male,French,1.286474026
24,11,58,Male,English,3.17805383
16,12.5,44,Female,English,2.772588722
14.5,12.6,36,Female,English,2.674148649
22.81,8,45,Male,Other,3.127199036
19.18,12,32,Male,English,2.953868069
8,11,39,Female,English,2.079441542
13.68,12,37,Male,English,2.615934912
9.42,12.5,49,Female,Other,2.242835089
28.8,16,38,Female,English,3.360375387
28.8,14,54,Female,English,3.360375387
21.23,15,37,Male,English,3.055415276
24.46,13,32,Female,English,3.19703913
16,12.5,41,Male,English,2.772588722
17.07,14,32,Female,English,2.837322537
38,17,46,Male,English,3.63758616
20.1,14,42,Male,French,3.000719815
18.19,12,50,Female,French,2.900871993
8,13,37,Female,English,2.079441542
27.84,17.3,41,Female,English,3.326473835
17.59,9,61,Male,English,2.867330559
7,14.1,19,Male,English,1.945910149
15.36,11,45,Male,English,2.731766728
14,8,64,Male,English,2.63905733
15,13,34,Male,English,2.708050201
13.59,14.1,29,Female,English,2.609334228
9.6,10,17,Female,English,2.261763098
17,11.5,34,Male,English,2.833213344
9.5,3,62,Female,Other,2.251291799
17.5,12,43,Female,French,2.862200881
17.81,13,34,Male,French,2.879760097
7.16,13.8,21,Male,English,1.968509981
5.75,12,17,Female,English,1.749199855
15,13,64,Female,English,2.708050201
9.65,12.5,53,Female,English,2.266957915
18.04,15,30,Male,English,2.892591515
27.75,16,36,Male,English,3.32323584
15.36,12,41,Female,English,2.731766728
19.91,13,47,Female,English,2.991222118
12,7,38,Male,Other,2.48490665
3.59,13.6,21,Female,English,1.278152203
7.2,11,18,Male,English,1.974081026
13,15,22,Male,English,2.564949357
7,9.5,27,Female,Other,1.945910149
12.56,15,24,Male,English,2.530517161
6.44,7,54,Female,French,1.86252854
10,16.5,38,Male,English,2.302585093
13.49,10.5,37,Female,English,2.60194867
5.85,13,19,Male,English,1.766441661
22.7,12.7,43,Male,English,3.122364924
13.07,19,42,Male,English,2.570319528
6.7,6,57,Female,French,1.902107526
7,13,19,Female,English,1.945910149
20.48,11,38,Female,French,3.0194488
25.6,18,32,Female,English,3.242592351
7.75,13,54,Female,English,2.047692843
9.18,12.6,20,Male,English,2.217027205
7.92,13,20,Female,English,2.069391206
43.2,16.5,37,Male,English,3.765840495
18.74,16,29,Female,English,2.930660277
22.98,15,36,Female,Other,3.134624272
14.04,9,61,Female,English,2.641910399
14.88,13,40,Female,English,2.700018029
7.6,9,57,Female,English,2.028148247
7.68,15,24,Female,English,2.038619547
6.9,16,24,Female,French,1.931521412
8.75,11,34,Female,English,2.1690537
10.96,12.5,32,Female,English,2.394252282
13.73,19,41,Female,English,2.61958322
27,15,48,Female,English,3.295836866
12.21,12,54,Female,French,2.502255288
30.1,13,47,Male,English,3.404525172
18.24,11.5,51,Male,French,2.903616985
10,12,34,Female,Other,2.302585093
18.54,12,38,Male,French,2.91993056
25,11,60,Male,English,3.218875825
14.34,12,23,Female,English,2.663052835
6.73,10,16,Female,English,1.906575144
7.85,9,57,Female,English,2.060513532
6.94,14,19,Male,English,1.937301775
14.07,12.7,56,Female,English,2.644044871
12,12,36,Male,English,2.48490665
8,14,43,Female,English,2.079441542
28.36,15,39,Male,English,3.344979702
9.49,9,55,Female,English,2.250238613
15.04,13,56,Female,English,2.710713319
16.9,12.6,42,Female,English,2.827313622
27.34,14.8,37,Female,English,3.308350831
8.05,12,29,Female,English,2.085672091
10,15,29,Male,English,2.302585093
19.2,16,30,Female,Other,2.954910279
5.6,12,29,Female,English,1.722766598
11.36,12,51,Male,English,2.430098413
18.94,16,32,Female,English,2.941276088
9.43,11,21,Male,English,2.243896097
18.21,12,45,Female,English,2.901970894
20.84,13.8,39,Female,Other,3.036874217
24,17,31,Male,English,3.17805383
27.84,18,53,Male,English,3.326473835
34.56,12,46,Male,English,3.542696944
15.87,10.5,45,Female,Other,2.764430535
31.9,8,58,Male,Other,3.46260601
6.7,11,18,Female,English,1.902107526
12,8,29,Male,English,2.48490665
7,13.8,20,Female,English,1.945910149
7.89,12,61,Female,English,2.065596135
9.82,12,18,Male,English,2.284421122
6.7,20,43,Male,English,1.902107526
7,12,25,Male,English,1.945910149
18,15,26,Male,English,2.890371758
26.18,17,38,Female,Other,3.26499576
33.6,13,60,Male,English,3.514526067
20,12,36,Male,English,2.995732274
6.85,12.6,20,Female,English,1.924248652
15.85,11,33,Male,French,2.7631695
7.48,12.7,38,Female,French,2.012232792
28.14,16,56,Female,English,3.337192052
7.67,5,62,Female,Other,2.037316615
13.88,10,57,Male,Other,2.630448955
17.44,5,58,Male,Other,2.858766418
14.05,10.5,58,Male,English,2.642622396
13.54,12,56,Female,English,2.605648267
19.86,12.5,63,Male,French,2.988707659
18.72,16.5,26,Male,English,2.929592471
21.6,16,29,Male,English,3.072693315
18.35,12.5,27,Male,English,2.909629575
8.26,10.5,32,Female,English,2.111424588
20.85,12,40,Female,English,3.037353948
12,12,30,Male,English,2.48490665
14.36,10,53,Female,English,2.664446564
12.96,18,35,Male,English,2.561867691
17,14,40,Male,English,2.833213344
6.46,10.6,17,Female,English,1.865629318
9.34,12,18,Male,English,2.234306252
15.51,12.8,37,Male,English,2.741484977
25,17.5,34,Female,English,3.218875825
19,12,35,Male,English,2.944438979
8.5,12,42,Female,English,2.140066163
8,13,46,Female,English,2.079441542
20.45,17,58,Male,English,3.017982882
18.87,14,46,Female,Other,2.937573359
10,12,26,Male,English,2.302585093
12.29,13.7,31,Female,English,2.508785924
14.28,13,48,Female,English,2.658859957
9,12.5,42,Female,English,2.197224577
19.33,10,45,Male,English,2.961658293
10.56,13.4,42,Female,English,2.357073278
23.09,12.5,48,Female,English,3.139399623
21.44,13,49,Male,English,3.065258336
7,18,22,Male,English,1.945910149
16.5,12,51,Male,Other,2.803360381
18.9,19.5,24,Male,English,2.939161922
15.75,10,35,Male,English,2.756840365
13.21,16,28,Male,English,2.580974119
17.1,15,27,Female,English,2.839078464
16.08,14,44,Male,English,2.777576264
15.65,10,41,Male,English,2.750470917
13.13,19,32,Male,French,2.574899688
15.52,13.6,28,Male,French,2.742129515
23.04,16,29,Male,English,3.137231836
8,12,61,Male,French,2.079441542
10.85,10,44,Female,English,2.38416508
12.31,16,22,Female,English,2.51041194
12.81,10,41,Male,English,2.550226116
21,18,24,Female,English,3.044522438
16.12,12,33,Male,English,2.780060737
21.6,12.7,33,Male,English,3.072693315
12.35,15.4,32,Female,French,2.513656063
16.32,15,38,Female,English,2.79239135
19.2,11.5,53,Female,English,2.954910279
13.23,10,58,Male,English,2.582486978
21.43,15,32,Male,English,3.064791809
16.25,9,34,Male,English,2.788092909
23.63,13,31,Female,English,3.162517091
8,16,29,Female,English,2.079441542
7.49,11.6,19,Female,English,2.013568798
6,15.5,20,Female,English,1.791759469
21,11,39,Female,English,3.044522438
12.03,13.8,37,Female,English,2.48740353
10,13.4,37,Female,English,2.302585093
19.68,12.5,38,Male,English,2.979602892
10,11.3,45,Male,English,2.302585093
24.74,19,32,Female,English,3.208421367
13.75,17,28,Female,English,2.621038824
8.97,11,23,Male,English,2.193885676
14.5,14.3,46,Female,English,2.674148649
9.48,8,62,Male,English,2.249184316
9.2,13,40,Female,English,2.219203484
14.52,15,30,Female,English,2.675527009
16.68,12.5,47,Male,English,2.814210397
10.07,13.2,20,Female,Other,2.309560707
7.97,10,26,Female,English,2.075684493
22.8,12,39,Male,English,3.126760536
17.77,15,47,Female,English,2.877511642
15.36,16.2,39,Male,English,2.731766728
24.92,12.5,39,Male,English,3.215670694
10,17.5,24,Male,English,2.302585093
6.6,10,18,Male,English,1.887069649
7.73,9.8,17,Female,English,2.045108863
14.8,9,32,Male,English,2.694627181
9.33,14.5,41,Female,Other,2.233235015
10.35,17,51,Female,English,2.33698652
11.43,12.5,21,Female,English,2.436241478
30,16,48,Female,English,3.401197382
15,15.8,30,Male,English,2.708050201
10.46,14.5,24,Female,Other,2.347558459
22.04,17,26,Female,English,3.092858984
11,15,25,Female,English,2.397895273
24,15,47,Male,English,3.17805383
17,15,32,Female,English,2.833213344
19,12.8,36,Male,English,2.944438979
15,12.5,38,Male,English,2.708050201
24,16,39,Female,English,3.17805383
12.65,12,39,Female,English,2.537657215
10.56,15,32,Male,English,2.357073278
13,11,22,Male,English,2.564949357
6,14,21,Male,English,1.791759469
7.88,14.3,26,Female,Other,2.064327904
12.94,17,33,Male,English,2.560323289
15.78,16,47,Male,English,2.758743315
24,6,54,Male,English,3.17805383
24.69,18.5,31,Female,English,3.206398303
18.96,15.8,53,Male,English,2.942331497
12.13,11,31,Male,English,2.495681723
14.62,13,28,Male,English,2.682390454
13,16,29,Male,English,2.564949357
13.5,11,25,Male,English,2.602689685
13.62,14.5,54,Male,English,2.611539301
9.4,10,51,Female,English,2.240709689
14.77,17,34,Female,English,2.692598097
7.5,12,24,Female,English,2.014903021
11.5,13,31,Female,Other,2.442347035
10,14.5,46,Female,English,2.302585093
28.8,12,42,Male,English,3.360375387
19.38,11.5,28,Male,English,2.964241606
24,15,30,Female,English,3.17805383
6.71,11.6,20,Male,English,1.903598951
23.42,12.5,43,Male,English,3.153590358
15.33,13,34,Female,English,2.729811693
12.48,13,28,Male,English,2.524127363
14.65,12.7,37,Female,English,2.684440335
8.91,10.1,35,Female,Other,2.187174241
16.46,11,51,Female,English,2.800933195
16.76,19.5,37,Male,English,2.818995095
15.34,12.3,31,Male,English,2.730463796
26.62,16.5,45,Male,English,3.281662813
8.96,12,23,Male,English,2.192770227
20.87,13,42,Male,English,3.038312721
7,12,19,Female,English,1.945910149
38.34,20,47,Female,English,3.646493738
9,13,28,Male,English,2.197224577
25.63,14,38,Female,English,3.24376354
30.72,16.5,48,Male,English,3.424913908
5.15,12.5,29,Female,English,1.638996715
21.6,15,42,Male,English,3.072693315
28.8,15,62,Female,English,3.360375387
14.93,19,28,Male,English,2.703372612
15,15,25,Male,English,2.708050201
9,14.1,20,Female,English,2.197224577
13.76,10,24,Male,English,2.621765833
24,12.5,48,Male,English,3.17805383
28.16,14,51,Female,English,3.337902531
6.48,10,56,Female,English,1.86872051
13.06,13,38,Female,English,2.569554124
17.46,9,45,Male,English,2.85991255
6.76,13,18,Female,English,1.91102289
21.94,17,30,Female,English,3.088311455
18.79,14,52,Female,French,2.933324813
29.22,16.2,40,Male,English,3.374853406
13.75,17.4,40,Female,English,2.621038824
10.22,13.2,30,Male,English,2.324346585
21.99,16,55,Female,English,3.090587805
15.25,12,34,Male,English,2.724579503
6.7,16.3,23,Female,English,1.902107526
11,14,20,Male,English,2.397895273
13.14,15,25,Male,French,2.575661013
11.45,12,23,Male,French,2.43798973
21.94,11,56,Female,English,3.088311455
36.32,17,57,Male,Other,3.592368554
12.48,10,49,Male,English,2.524127363
16.06,16,30,Female,English,2.776331709
16.85,10.5,61,Female,English,2.824350657
14,15,49,Male,English,2.63905733
7,16,42,Male,English,1.945910149
8.33,14,42,Female,English,2.119863456
11.78,13,52,Female,English,2.466403178
12.25,12.5,58,Female,English,2.505525937
21.94,17,42,Male,English,3.088311455
10.18,10,41,Female,English,2.320425011
18.81,13.5,40,Male,French,2.934388643
4.63,14.5,24,Female,English,1.532556868
22.21,13,40,Male,Other,3.100542638
9.45,13,23,Male,English,2.246014742
21.34,12,49,Male,French,3.060583246
11.87,13,36,Female,English,2.474014209
25.12,12,44,Male,English,3.223664342
8.03,11.6,20,Male,English,2.083184528
16,12,48,Male,French,2.772588722
14.89,17.5,35,Female,English,2.700689847
6.7,13,18,Male,French,1.902107526
18.92,20,41,Male,English,2.940219564
21.1,15,30,Female,English,3.04927304
10,12,49,Female,English,2.302585093
6.25,10.5,60,Female,English,1.832581464
9,9,33,Female,Other,2.197224577
13,10,31,Male,English,2.564949357
7.16,7,18,Male,Other,1.968509981
7.01,4,45,Female,Other,1.947337701
9.63,12,18,Male,English,2.264883226
13.78,10.5,56,Female,English,2.623218266
15.36,18,23,Male,French,2.731766728
7,12,18,Female,English,1.945910149
11,11,25,Male,English,2.397895273
15.43,11.2,55,Female,English,2.736313666
11.5,15,33,Female,English,2.442347035
29.62,13.5,33,Male,English,3.388449809
33.39,16.1,46,Female,English,3.508256454
22.08,12,30,Male,English,3.094672221
12.51,13,26,Female,English,2.526528324
6.7,12,18,Male,English,1.902107526
9.57,15,34,Male,English,2.258633205
9.66,10,45,Male,English,2.267993648
19.04,20,29,Female,English,2.946542029
13,17.1,26,Female,English,2.564949357
9,8,58,Female,Other,2.197224577
22.68,15,45,Male,English,3.121483479
6.5,12.2,21,Female,Other,1.871802177
6.75,12,57,Female,English,1.909542505
26.98,20,40,Female,English,3.295095851
30.1,16,46,Female,English,3.404525172
38.76,11.5,33,Male,French,3.657388787
